sentence,label
太松了,牙齿松动
智齿属于坏了，就剩一半了吧，以前没事，现在影响到旁边的牙都有疼痛了,智齿冠周冲洗
是后面大牙，两年了,无主题
应该是喝酒抽烟造成的吧,无主题
你们的专家都有几年正畸经验啊,牙齿矫正
种植牙大概要多少钱一颗？,牙齿种植
以前补过的，现在痛，能拔吗,牙齿疼痛
怎回事,无主题
我安装的烤瓷牙，烤瓷脱落了，对身体有形响吗？,烤瓷牙
就是单纯美白,牙齿美白
我就了解一下，大概价钱拔着一颗牙,拔牙
前后上下都有,无主题
补了就可以张出来吗,补牙
就是你们韩国的种植体有没有小的？,牙齿种植
口腔溃疡能治好吗？,口腔溃疡
费用和蛀牙面积的大小有关系？,龋齿治疗
那隐形的得多少钱啊  大概,隐形矫正
前门牙缝隙大怎么解决办法,无主题
要先矫正，留出空间后才能种植,牙齿矫正
而且牙齿挺齐的,无主题
我想问下，咱们牙齿贴面材质是进口的吗？,牙齿贴面
拔牙了,无主题
我朋友说洗牙不太好是吗,洁牙
曾经咬合时，吃东西时也很痛,无主题
拔掉大概花费多少？,拔牙
五十岁缺一颗,补牙
不是智齿旁边的坏掉，是再过来一颗,无主题
牙根是什么，掉了两颗半，还有一半在,补牙
如果要拔掉，需多少钱？,拔牙
现在有什么除了冲洗上药的消炎办法没有啊，医院现在也下班了,牙齿炎症治疗
牙周炎除了牙齿松动还会怎样,牙周治疗
洗牙之类的费用算进去了吗,洁牙
小孩多大才能矫正孩子？,牙齿矫正
想拔一颗下颚智齿大概多少钱？,拔牙
想做贴面,牙齿贴面
先把牙肿消除，再拔牙,牙周治疗
最近疼的厉害，然后发炎,牙齿炎症治疗
什么样的都可以矫正吗,牙齿矫正
溃疡。,口腔溃疡
拔掉了智齿要多少时间,拔牙
有牙周炎可以种植牙吗,牙周治疗
月经期可以拔智齿吗,智齿
哪我牙齿属于氟斑牙，要美白，我想了解一下价格,牙齿贴面
正畸呀，能做吗,牙齿矫正
都是统一的价格吗,无主题
两颗虎牙，其中一颗有牙周炎,牙周治疗
已经被我搬烂一点牙齿了,龋齿治疗
那您建设是用其他的方案先治疗，先不要拔,无主题
拔大牙需要多少钱,拔牙
所以我镶牙的时候就不想在那边了,补牙
一扣隐形牙套矫正需要多少钱,隐形矫正
能纠正到正常状态吗,牙齿矫正
蛀牙怎么办啊,龋齿治疗
有时候还疼,牙齿疼痛
之前感觉牙龈肿 过了一天后发现牙龈白色脓包 把脓包挤了 跟平时没什么区别,无主题
洁牙一次要多久？回去就能吃东西了吧？没有后续的什么。。。您刚给我发的没有超生洗牙的价格,洁牙
您好 我想咨询拔智齿,拔牙
只有几颗牙，而且松动厉害,牙齿松动
种植牙可以用多久,牙齿种植
所以，我想知道费用大概多少,无主题
儿童5岁 虫吃的地方,龋齿治疗
牙齿往外突出能自己治疗吗？,牙齿矫正
牙齿没有坏就是上火了,无主题
种单颗多少钱？,牙齿种植
最进牙齿有些小毛病,无主题
没看见牙齿,无主题
我同事在你们医院矫正牙齿花了1万，我花了1万8，矫正的是一款一样的，你们是正规医院吗,无主题
全瓷牙的话 还是能看出来是假牙吗,全瓷牙
牙龈出血 一嘬舌头就出血，已经一个多月了,牙周治疗
如果是恢复好了再去种的话也是重新再牙龈打个洞吗？那拔牙的时候本就有个洞了为什么还要恢复好了又弄伤它呢,无主题
散力痛可以不,无主题
口腔溃疡我把它掐破了，几天还没有好，该用什么药好的快呢,口腔溃疡
19岁是否能进行牙齿矫正？,牙齿矫正
做牙套大概多少钱一颗,烤瓷牙
慢性牙周炎怎么治疗最有效,牙周治疗
好的，大概费用你发个给我,无主题
可能一颗牙齿的四分之一吧,无主题
34岁，下颚做牙,无主题
换个进口的牙多少价位,无主题
有大的有小的,无主题
但是发现已经有两颗下牙是这种情况了,无主题
牙齿矫正治疗的价格?,牙齿矫正
请问装一颗全瓷牙需多少钱。,全瓷牙
你好，把个智齿大概多少钱,拔牙
如果伤到牙神经了怎么办？,无主题
口腔溃疡一个多月都没有好,口腔溃疡
我现在牙疼，不能拔，消炎后才能拔，你们医院在厦门哪里？,牙齿疼痛
差不多就小黄豆大小,无主题
儿童 蛀牙,龋齿治疗
我有加你,无主题
在矫正牙齿,牙齿矫正
要打麻药？痛？,无主题
牙齿痛什么情况,牙齿疼痛
我是下头的牙缺失，还剩几颗松动的，我想一块拔掉做种植,牙齿种植
牙齿本身没多大问题，想更美观些，姑凉,牙齿矫正
蛀牙导致的。,龋齿治疗
我坐牙拔了十年没装，现在、相对牙齿增长了，医生说不能按了，我该怎么办？,无主题
蛀牙过来第二颗,无主题
补颗驻齿多少钱,龋齿治疗
你们检查，磨牙一般是多少钱？,无主题
那这个消炎药和止痛药的费用哪个负责,无主题
现在就是疼，去门诊看说建议拔掉,拔牙
之前有个虎牙翘，医生拔了下边的牙，还大牙一颗，现在导致中间有缝隙，右边有也，,无主题
价格合适，我明天带过去,无主题
效整齐一般要多少钱,牙齿矫正
拔智齿大概多少钱,拔牙
牙贴真的能美白牙齿吗,牙齿贴面
我在口腔医院才看了下我的牙齿,无主题
最近肿痛出血,牙周治疗
我感冒后牙齿疼，用什么药？,牙齿疼痛
我去年在莲花店拔智齿建过档，在思北还需要重新建档吗,无主题
最多增加多少,无主题
应该没啥问题，前不久去医院检查的话初检建议我种牙，3甲医院。,牙齿种植
如果有冲突我就现在,无主题
不整齐反正  还要牙黄，,牙齿矫正
如果是智齿的话呢,智齿
一般情况下，隐形多少钱,隐形矫正
长出来了  斜着的,牙齿矫正
没有，只是现在才有，而且触摸牙根很疼。,牙齿疼痛
智齿过来第三颗牙空了,龋齿治疗
五缘湾店,无主题
长智牙 导致脸肿了 该怎么办,智齿
左边的大牙肿痛怎么回事,牙齿疼痛
两个牙齿中间舌头用力一吸就出血,牙周治疗
洗嘴牙银出血,牙周治疗
就是刷牙滴时候吐的那个泡沫有点血,牙周治疗
牙周炎，靠洗牙就会好吗？,牙周治疗
不会，就两颗门牙不整齐,牙齿矫正
你们有做隐适美嘛？,隐形矫正
请问下 一般隐形牙套矫正 需要多久时间？,隐形矫正
智牙可以拔吗,智齿
一周完成？,无主题
牙松动有3颗，吃饭不给力,牙齿松动
我想直接拔牙，但是不是要先消炎么,拔牙
好多钱呢,无主题
口腔溃疡怎么治疗效果最好,口腔溃疡
你们是看牙齿的吗？,无主题
牙周炎怎么治？,牙周治疗
好像牙根那里被腐蚀的很重要,龋齿治疗
老年人牙松动如何处理,牙齿松动
钴铬烤瓷是哪种？,烤瓷牙
会不会损伤釉质,无主题
半年了，要是做烤瓷则么做,烤瓷牙
两条牙齿之间有点缝隙,无主题
就说多少钱吧,无主题
又没发炎,无主题
12岁孩子板牙旁边又长个牙齿，是怎么回事,拔牙
而且好像做得有点歪了。,牙齿矫正
最近两天劲得难受,无主题
有炎症当天能拔吗,牙齿炎症治疗
你好，要拔智齿,拔牙
牙齿前几天花六百元做了一种针管治疗。怎么还要连续疼,牙齿疼痛
没有，就是想拔掉,拔牙
痛过几次。,牙齿疼痛
宝宝窝沟封釉一般什么价位,窝沟封闭
我想知道你们这里的话换一颗牙大概多少钱,无主题
想查下牙齿状况，并洗牙,洁牙
肉一圈变黑,牙周治疗
对的，种牙最便宜多钱,牙齿种植
笑的时候露牙龈是要做牙齿矫正吗,牙齿矫正
去年就有了   不疼  我就没补,无主题
隐形的大概要多少钱,隐形矫正
你可以大概把具体费用告诉我下吗,无主题
一周多了，大概要多少钱,无主题
德国哪个厂家的？,无主题
牙齿痛，出血,牙周治疗
牙根发炎，肿怎么办？,根管治疗
大概多少钱，带多久的隐形牙套啊,隐形矫正
大概是牙齿根部感染引起发炎,根管治疗
牙髓被补牙的医生抽了,无主题
能让牙齿变白,牙齿美白
我问的是智齿发炎该吃点什么药呢,智齿冠周冲洗
不知道，没去看过,无主题
没，洗得掉,无主题
大牙坏了。喝凉水疼。能补么,牙齿脱敏
对我牙齿有影响吗,无主题
应该是长智齿了,智齿
拔了多久能好啊,拔牙
我想咨询深覆合,牙齿矫正
隐形矫正的如果参加试戴的话有其他费用吗,隐形矫正
吃药好一阵又痛,牙齿疼痛
复查 然后在给孩子看看窝沟封闭,窝沟封闭
应该是要拔的,拔牙
门牙两颗需要美白 然后有一颗需要矫正  大概需要多少钱,牙齿矫正
牙科医院种植牙的价格,牙齿种植
又肿又疼，连头都疼,牙周治疗
牙齿本来是齐的，咬到骨头走位的,牙齿矫正
口腔癌是什么引发的呢,无主题
蛀牙，牙痛怎么处理！,龋齿治疗
我之前去西南医院只要2600的费用 你们6999太贵了,无主题
网上做广告的医院，价格都不便宜,无主题
之前补了后来掉了,补牙
种牙疼痛吗50岁可以吗,牙齿种植
隐形的是比不锈钢的贵吗？,隐形矫正
牙疼松动了还会恢复吗？,牙齿松动
应该是上火导致智齿发炎肿痛,智齿冠周冲洗
我结核还在吃药可以拔牙吗,拔牙
感染了治疗费用大概多少,无主题
男，四十七岁，左边大牙旁边哪颗,无主题
抽烟多引起的,洁牙
拍过说牙龈不好,牙周治疗
消盐药，,无主题
我是刚才咨询种植牙的价格的，麻烦您再发一份给我。谢谢。,牙齿种植
应该不会发炎引起的,无主题
我想知道今后还能吃吗,无主题
怎么清洗,洁牙
这牙根发炎严重吗？,根管治疗
医生说不是虫牙,无主题
我是反复性口腔溃疡,口腔溃疡
请问种牙需要多久,牙齿种植
听说有些人智齿也会长出来,无主题
你们 洗牙也在做活动吗,洁牙
先咨询下已经有牙套想换全瓷牙,全瓷牙
我想对比一下价格,无主题
可以进行种植牙吗,牙齿种植
我想咨询下正畸引起的牙周炎一般怎么治疗的,牙周治疗
我门牙断了一半。。,补牙
你先把那些价位和牙齿发给我看看,无主题
没有。就是每天都自然出现。刷牙也出，吃东西也出。,无主题
就是不知道自己的牙齿能不能做隐形矫正,隐形矫正
补牙会很疼吗？,补牙
金属的什么价,无主题
有个具体的价格给我妈,无主题
就是牙齿尖酸,牙齿脱敏
蛀牙,龋齿治疗
牙龈有一个白点，把他弄穿有脓点,牙周治疗
拔智齿收费上限多少钱呢,拔牙
那意思是不能直接拔了,拔牙
拍片能看出什么问题呢,无主题
我女儿十岁长龅牙,牙齿矫正
种植牙费用多少钱一颗,牙齿种植
没有麻烦给介绍下,无主题
虫牙，现在牙有一个洞,龋齿治疗
牙齿歪的年龄30,牙齿矫正
你好，请问一颗种植牙要多少钱,牙齿种植
有点长到牙龈里面,无主题
我姐姐长了智齿非常痛，连带左边的脸和眼睛都肿了,智齿冠周冲洗
我们一起的种牙怎么都是一万多？考虑一下联系你！,牙齿种植
每个月来月经的前一周都会口腔溃疡,口腔溃疡
一年多，拔一颗智齿费用是多少？,拔牙
先是红肿然后才是溃疡,口腔溃疡
如果缺了，会与财运有关吗？,无主题
八月二十号左右吧，医生建议先消炎然后手术补骨粉,牙齿炎症治疗
我想了解一下，一般补多长时间,补牙
请问氧化皓牙冠多少钱呢,全瓷牙
一般人牙齿有几颗,无主题
应该是发炎,牙齿炎症治疗
种植体是用的什么材料,牙齿种植
这颗牙以前是虫牙,无主题
这小问题还要拍片,无主题
是不是我这段时间吃中药引起的？,无主题
最里面蛀牙 感觉是牙龈疼,龋齿治疗
你好我想问一下牙齿有洞可以把她给修好吗,龋齿治疗
牙疼怎么办立刻止疼,牙齿疼痛
有智齿，,智齿
门牙里面划舌头了是不是该换了呢,无主题
‭19374846516‬,无主题
我的是牙根，感觉有小口。是不是溃疡,牙周治疗
为什么牙齿上面有黑色的,龋齿治疗
问什么？智齿掉了一半,智齿
先说止痛方法,牙齿疼痛
露牙根怎么办,牙周治疗
可以娇正吗,牙齿矫正
我感觉我这个唇炎一直反反复复,无主题
而且一涨就几个溃疡难受死了,口腔溃疡
有医生说是口腔溃疡,口腔溃疡
你好!我最后面一个牙活动了，应该拔吗？,牙齿松动
侧边 掉了一块 没有问题么,补牙
我30岁，我从十三岁就开始长溃疡了,口腔溃疡
我经常口腔溃疡是什么原因，今年46了,口腔溃疡
神经牙多少钱,根管治疗
那最便宜多少钱，,无主题
没检查过，平时就用一些治疗溃疡的药,无主题
牙齿很松动，拔掉了，就空起吗？,拔牙
我打算明天就去洁牙,洁牙
隐形那个多少钱,隐形矫正
睡不好，会被疼醒,牙齿疼痛
关键我牙齿都掉了啊,补牙
看过修复,无主题
成人龅牙差不多要花多少钱,牙齿矫正
如果在您那看、你那边大概费用是多少,无主题
你告诉我一下你知道的最高价格是多少,无主题
咨询补牙,补牙
还有就是上牙和下牙咬合的地方  挨着脸的地方都肿了这是怎么回事,无主题
我先吃点药看看,无主题
全瓷贵了些,全瓷牙
牙龈出血跟什么有关,牙周治疗
而且下牙老有口水溢出,无主题
咨讯补牙,补牙
补牙需要多少呢,补牙
防打鼾牙套，挂哪科,无主题
拔智齿大概费用是多少啊,拔牙
全瓷牙德国进口要多少钱,全瓷牙
他也给我说的，中线会偏,牙齿矫正
有没有直接最有效的止痛方法,牙齿疼痛
我检查过  有牙龈炎  也洗了牙了,牙周治疗
口腔溃疡变黑怎么办,口腔溃疡
隐形的  外表能看出来带牙套吗,隐形矫正
今天过来拔牙得行不？,拔牙
我指的是全部费用,无主题
每个价位差不多多少,无主题
牙龈消肿,牙周治疗
最里面的两颗牙,无主题
种一棵要多少钱？,牙齿种植
是什么样材料和价格,无主题
大牙，全瓷牙哪种最好最实惠,全瓷牙
烤瓷牙多少一个,烤瓷牙
牙根健康可以补吧,补牙
能告诉一下大概费用吗,无主题
解决牙龈肿痛最好的方法什么,牙周治疗
我二十六岁，主要是上排前面大概四颗牙有点往外凸,牙齿矫正
想今天先止疼，,牙齿疼痛
下门牙旁边那个颗,无主题
我有一个牙有虫牙后来拔掉了,无主题
儿童窝沟封闭,窝沟封闭
那牙痛跟平时生活习惯有什么联系吗,牙齿疼痛
直接拔,拔牙
没牙套,无主题
就是位置有一点点歪,牙齿矫正
牙根肿痛怎么办,牙齿疼痛
是发炎了吗,无主题
还有其他价格的吗便宜点的,无主题
有点烟渍,洁牙
那拔一只智齿大概要多少钱,拔牙
是个虫牙松动,龋齿治疗
通常这种是什么情况，,无主题
我现在吃东西这牙齿碰到就感觉要掉了，牙尖还有点敏感。,牙齿脱敏
智齿前一颗,无主题
哦，谢谢你了！那怎么办？,无主题
那我不是要花900块钱,无主题
下午吃了个方便面，，感觉是吃了汤的东西很痛,无主题
我就问你们多少钱,无主题
拔牙以后只吃消炎药可以嘛？,无主题
是牙龈炎嘛,牙周治疗
14岁小孩门牙有蛀牙,龋齿治疗
怎么弄？它会自己消炎吗,无主题
是什么原因引起月经前嘴里长溃疡,口腔溃疡
智齿一定要拔吗,智齿
拔埋伏牙3000一颗贵吗,拔牙
做种植牙手术要多久,牙齿种植
牙龈肿了一般几天才好,牙周治疗
那牙齿现在会动怎么弄,牙齿松动
牙根部有黑色的，是虫牙吗？,龋齿治疗
去看过，医生说要拔掉,拔牙
烤瓷牙多少一颗牙,烤瓷牙
整体来说是三颗，有个门牙缺失一半,补牙
大牙都烂了,龋齿治疗
就是大拇指的那节手指,无主题
没有歪  但是发炎很痛,牙齿炎症治疗
国产的吧,无主题
是吗(?O?),无主题
可以种植大概要多少钱个,牙齿种植
请问智齿发炎了可以拔吗？,智齿冠周冲洗
你好 贴面美白多少钱,牙齿贴面
对了刚才说的甲硝唑不是阴道消炎的吗？,无主题
我用了复方一枝黄花喷雾剂还有浦地蓝消炎片，用了几天没有效果,无主题
有3颗蛀牙，但是不算严重想补一下,龋齿治疗
我想了解一般这种情况有多严重,无主题
后大牙第二颗,无主题
嘴巴也张不开,无主题
八十年代补的牙（右下第六），近日希望修补或做冠结果说只能拔了，镶牙或种牙？,拔牙
牙痛用什农村草草药。,牙齿疼痛
我只是问问纠正牙齿有些医院要手术吗,牙齿矫正
我儿子3岁，牙龈门牙上面长个脓疱，,牙周治疗
动牙的时候也有点点疼,牙齿疼痛
不可以我就等炎症消了在去,无主题
拔智齿一般要多少钱,拔牙
貌似是虫牙、,龋齿治疗
嗯，那拔了再种有个价格吗,牙齿种植
洁牙美白一起吧！,牙齿美白
现在28岁了，保持器需要带多久,牙齿矫正
咱们这儿童窝沟封闭多少钱？,窝沟封闭
我前两年长智齿牙，最近牙龈包了一半的齿牙，而且包着齿牙的那块还能动…严重吗,智齿
价格大概空间？,无主题
目前还有一颗芽在松动，还没有换好,无主题
嗯，智齿旁边的牙龈肿了，最近刷牙都有仔细刷智齿才发现,智齿冠周冲洗
还是一直佩戴，直到矫正好？,无主题
我是十一年前做了根管治疗，贵金属，全瓷牙，现在活动，感觉要掉,无主题
分期是本金多少钱,无主题
拔智齿注意事项与禁忌,拔牙
就是已经断了,补牙
手术？怎么做法,无主题
这几之前吃了鼻炎药后，这几天口干，感觉舌头厚的,无主题
卸掉牙齿贴面多少钱？,牙齿贴面
牙齿有一些地方坏了，烤瓷牙多少钱？,烤瓷牙
昨天牙齿疼痛，一棵尽头牙松，动，牙龈肿痛发炎并拌有舌头下面溃疡,牙周治疗
我想问下做个假牙得多少钱,补牙
看智齿大概需要多少费用,智齿
蛀牙疼,龋齿治疗
牙龈肿痛呢,牙周治疗
我是四环素呀,牙齿贴面
我有慢性胃炎炎和食管炎，还有乙肝,无主题
正常拔智齿多少钱呢,拔牙
拨智齿需要拍整个口腔血管片子吗？,拔牙
我就是没多少时间,无主题
不痛，没感觉，还没到神经那里,无主题
有点地包天，一半上包下，一半下包上,牙齿矫正
你报下你们医院的价格从多少到多少？,无主题
是啊，以前很小，现在越来越大了？,无主题
就是可能智齿引起的疼痛,智齿冠周冲洗
隐形矫正的怎么收费？,隐形矫正
蛀牙补了之后2星期感觉隐隐作痛时咋回事,牙齿疼痛
是智齿发炎,智齿冠周冲洗
问一下拔一颗牙大概要多少钱,拔牙
你知道地包天吗,牙齿矫正
有少了二个,补牙
我想问问拔智齿的话要多少钱,拔牙
是不是嘴里的溃疡不好的话。就还会发烧对吗？,口腔溃疡
智齿不是牙髓炎，就是有时很疼，牙龈肿痛,智齿冠周冲洗
请问医生我这是单纯唇炎还是扁平台癣的反应,无主题
其中一颗掉了有几年了，觉得不是特别碍事,补牙
装一颗牙齿要多少钱？,补牙
你好单颗缺牙种植需要多少钱,牙齿种植
矫正费用大概需要多少?,牙齿矫正
我是想问一下矫正一般费用多少,牙齿矫正
就告诉我拔加种大概要多少,牙齿种植
拔完牙多久可以洗牙啊？,洁牙
断了三分之一左右,补牙
得补四颗,补牙
从开始做根管治疗到戴上烤瓷牙，需要多少时间？,烤瓷牙
矫正牙齿疏松多少钱,牙齿矫正
我的牙应该是由牙龈炎或牙周炎。,牙周治疗
那要怎么敲碎？,无主题
我想了解隐形矫正的费用,隐形矫正
说我有炎症,牙齿炎症治疗
两个坑,补牙
牙冠过短还要做手术,无主题
一吃东西就疼痛,无主题
我现在牙齿酸痛可以去拔牙吗,牙齿疼痛
阻生智齿拔掉需要多少钱,拔牙
一般6000做得全瓷牙，在你们那里医保社保可以报多少,全瓷牙
有的有有的没有，男,无主题
牙根不明显,无主题
哦哦，好的，等我回去了问他牙齿的情况,无主题
请问做“氧化锆”全瓷牙多少钱一颗？做三颗什么价格？,全瓷牙
牙齿疼痛，需要怎么治疗？,牙齿疼痛
牙龈肿。牙疼,牙周治疗
牙周治疗的价格？,牙周治疗
什么都不是，从来不痛的，今天晚上，有点痛！,牙齿疼痛
就是前天开始烂,龋齿治疗
你好，我牙神经杀死以后一直没有处理，现在牙齿咬合会疼痛，好久牙齿有点松动,牙齿松动
一棵烂了，又拔了一颗,龋齿治疗
带牙套疼不疼啊,牙齿矫正
我想做隐适美牙齿矫正，想了解一下你们这的价格,隐形矫正
那大概多少钱到多少钱呢？,无主题
我知道已经感染发炎，会不会引起其他炎症,牙齿炎症治疗
哦那他们说是智齿拔了可以补吗,补牙
根管做好后就必须当天把牙补上吗？,补牙
还会疼就是现在可以粘？,牙齿疼痛
现在又有点疼了,牙齿疼痛
你好，孩子5岁下门牙已经换了长出来是斜的,牙齿矫正
说牙疼,牙齿疼痛
你们医院种植牙多少钱一科呢,牙齿种植
原来得装不动，然后就做一个套套上面，然后就是烤瓷牙再套上去粘上是吧。,烤瓷牙
我的意思是我只拔痛的那边可以不,拔牙
牙齿上有洞和黑点,龋齿治疗
19岁，没有去过医院,无主题
然后去看的时候发炎了，一直有几个月没痛了,牙齿炎症治疗
止痛了一下,无主题
炎症主要在舌尖上,口腔溃疡
说发炎了,牙齿炎症治疗
我问一下我现在牙疼怎么办,牙齿疼痛
牙齿里面的脏东西可以弄干净吗,洁牙
是牙渍清理,洁牙
小孩子会换大牙吗,无主题
发炎怎么处理,牙齿炎症治疗
一万多起，是什么意思,无主题
补个牙已经洗牙,补牙
是有个小洞想补,龋齿治疗
鼻炎引起的,无主题
抽不出,无主题
就是感冒的话会引起牙痛吗,牙齿疼痛
比较浅显的了解的,无主题
牙龈修复多少钱呢,牙周治疗
只挂陈欢喜,无主题
是刷牙缺损的,补牙
我这是什么情况 我同事说阻牙,拔牙
做一个晧齿美白多少钱？,牙齿美白
有七八年了，以前得过胃溃疡,无主题
我不想种植怕痛,无主题
进口iti有吗？大概价位,牙齿种植
是因为我牙结石,洁牙
跟牙齿的颜色差不多,无主题
这个跟吃辣椒有关系吗,无主题
那现在没有可以缓解牙痛的办法吗,牙齿疼痛
智齿发炎可以取了牙吗,智齿冠周冲洗
牙疼，不能吃,牙齿疼痛
上面已经是个洞了,龋齿治疗
我是想等小朋友大点牙齿都换完了在做矫正,牙齿矫正
最早会出血现在不会,无主题
拔智齿要多少钱，痛不痛,拔牙
涨了智齿，发炎了，有点肿，要怎么办,智齿冠周冲洗
请问有儿童牙齿涂氟吗,涂氟防龋
先咨询一下昨天门牙碰掉一小半,补牙
牙齿一直痛喝了凉茶吃了药没效果,牙齿疼痛
拔智齿的流程是什么样的,拔牙
牙齿不是很痛,无主题
我不知道 就是缺一一口,补牙
你好 请问 ?30岁了 ?用隐形矫正要多少钱,隐形矫正
你们医院有看三岁多的小孩牙疼吗,牙齿疼痛
现在有治疗牙疼的吗？,牙齿疼痛
因为我刚刚网上看了一下费用好像很贵,无主题
只是一直不刷牙,无主题
发炎啦,牙齿炎症治疗
拔两颗智齿要多少钱,拔牙
可不可以问一下 就是刚做的全瓷牙，但是牙齿上面部分颜色黄一点 下面部分就是正常颜色是为什么啊？,无主题
早点去拔好些吗？,拔牙
效果好点的材料大约多少钱？,无主题
我得门牙掉了  补一课多少呢,补牙
想看下智齿跟补过的蛀牙,智齿
耶，有点贵哟,无主题
想去补,补牙
之前没了解，现在经过了解发觉根管治疗还是最坏的打算,无主题
这次是咬到下嘴唇，然后变成溃疡，而且很大，很白,口腔溃疡
没有.我大概12岁门牙断了,补牙
牙齿酸什么原因,牙齿脱敏
最便宜的要多少钱这样,无主题
对了 我先咨询一下? 你们这个拔智齿的费用呗,拔牙
就是合不扰的那块肉会疼,无主题
是的，费用不低，想问一下你们哪里的价格,无主题
拔掉那我没有牙齿了怎么办,无主题
就是咬合不了 上面的牙齿会覆盖住下面的 然后凸出来一点,牙齿矫正
不是看牙病是看口条、因口条两侧出现红点2个月、感到极不舒服。,无主题
你说阿，你这要多少钱。,无主题
你们医院在哪里,无主题
换牙大概多少钱,无主题
你好种植牙多少钱一颗啊,牙齿种植
缺牙,补牙
牙痛怎么办？,牙齿疼痛
我母亲四个月前拔了牙 ，镶牙时医生说下面牙要种植两颗,牙齿种植
那先补牙吧！,补牙
牙疼智齿虫牙,智齿
牙齿做过  现在牙很痛怎么办？,牙齿疼痛
原来有个小洞，后面变成大的了,龋齿治疗
刚刚用手挤出一些白色液体,无主题
880的是最便宜的是吗,无主题
你说的是三百一颗吗,无主题
我昨天在他那边拔智齿,无主题
费用需多少,无主题
小朋友大牙已经蛀没了，还能再涂氟吗,补牙
有点黄，想美白,牙齿美白
我看到有的是在两边带上牙套   那是怎么种植假牙的,牙齿种植
46岁女性，有，医生说拿掉重新补，但不保整比现在的好,补牙
就是断了一半,补牙
没有，里面好像空了不少，洞已经挺大了,龋齿治疗
有发炎痛,牙齿炎症治疗
烤瓷牙有牙套？,烤瓷牙
还有就是洗牙大约多少钱？,洁牙
两万以下的有没有？,无主题
有发炎 昨天刚刚去洗了一下智齿 很痛想拔掉了,拔牙
这种要怎么处理呢,无主题
右边大牙，但是不出血，只是很疼,牙齿疼痛
补了牙医 牙医很痛 需要拔牙吗,牙齿疼痛
最里面的一棵有点烂,龋齿治疗
发炎充血很重要吗,牙齿炎症治疗
我只想把牙齿跟明星一样白。,牙齿美白
请问一下你们种植牙多少钱一颗,牙齿种植
我现在主要是想了解一下种植牙子的价位，看怎么比较划算，花10几万元就不划算了,牙齿种植
烤全瓷的,全瓷牙
刚拔完牙,无主题
我牙齿 没有 牙垢的,无主题
补一颗费用在什么范围,补牙
我这比较严重,无主题
你好，我的牙有虫牙可以修复吗,龋齿治疗
你们做全瓷牙，这种牙是不是没有金属，做CT核磁共振，都不会有影响吧,全瓷牙
牙齿整齐就是有点点突,牙齿矫正
那有没有缺营养牙松的？,无主题
先说价格大概多少？,无主题
那么4颗牙多少钱太多承受不起,无主题
威兰徳陶瓷牙价格？,烤瓷牙
"我想咨询""全瓷牙""",全瓷牙
是发炎了,牙齿炎症治疗
备孕状态，可以矫正不,牙齿矫正
这个有什么价位啊,无主题
戴透明保持器，戴哈利保持器，哪个更好？,牙齿矫正
牙龈有出血现象,牙周治疗
痛的是邻近牙，不是智齿,牙齿疼痛
抽烟导致牙黄,洁牙
牙周炎怎么确认,牙周治疗
植牙的话要多长时间,牙齿种植
直接说多少钱？,无主题
问下根管治疗的费用？今天取检查过，忘记问详情了，不是分好几种吗,根管治疗
方便透露一下价钱吗,无主题
吃什么要止痛,牙齿疼痛
三角形牙龈脱离了牙齿,牙周治疗
我孙女乳牙没掉又没松，侧边新牙长出来了，怎么办,拔牙
并且有点痛,牙齿疼痛
牙槽骨没有问题,无主题
我就买了个溃疡贴和溃疡喷雾,口腔溃疡
整一点吗,无主题
牙色素需要洗牙吗,牙齿贴面
但是价格中等什么价位,无主题
是直接拔掉好呢，还是怎么处理,拔牙
听说现在成年也可以矫正？,牙齿矫正
少一颗板牙能做矫正嘛,补牙
不是蛀牙我去牙科诊所看了，他们说是智齿,智齿
好的，一般多久提前预约,无主题
请问口角炎能医好吗,无主题
牙龈边的牙缺了一块补一下需要多少费用,补牙
疼，刚长，吃饭可费劲了,无主题
出血一天一夜了,牙周治疗
一般的牙种植一口多少钱,牙齿种植
龋齿夜间疼痛怎么办,龋齿治疗
消炎药也不管用,无主题
牙齿断了该怎么办,补牙
我有两颗一颗是最近掉的，另一颗是以前补过，现在全部掉了,补牙
是牙根,无主题
刚开始感觉疼,牙齿疼痛
39岁，缺了两个月,补牙
发炎还没好,牙齿炎症治疗
价位表可以发下吗,无主题
全瓷全瓷多少一颗,全瓷牙
上牙几乎包住了下牙,牙齿矫正
就是一直痛,牙齿疼痛
咱们院洗牙都包括什么？,洁牙
我觉得我牙龈萎缩,牙周治疗
我嘴巴开始打球的时候被撞伤了，后面发展成溃疡了,口腔溃疡
快47了，刚拔不久，但CT显示，槽骨较窄，可能还需植骨,牙齿种植
在家吃药就可以了吧，之前一直忍着也没吃药，今天才吃，实在疼的不行了,牙齿疼痛
牙齿是罴色的,龋齿治疗
上面第三个大牙,无主题
查过，正常种植,牙齿种植
最后一个牙   牙龈肿痛是怎么回事,牙周治疗
现在疼的我睡不着,牙齿疼痛
矫正器价格有几个档次,牙齿矫正
您好问您下长智齿一定要拔掉的吗,智齿
根管治疗算是手术吗,根管治疗
是不是都可以做隐适美？,隐形矫正
半隐形什么意思,隐形矫正
怎么去黄牙？,牙齿美白
那上颚长了一颗牙齿是什么牙齿,无主题
不用了谢谢你,无主题
